"Date","Inbound","Peak","Outbound","Peak"
"2020-10-02 10:20:00","2.4474001113e+10","2.4474001113e+10","5.5851926626e+10","5.5851926626e+10"
"2020-10-02 10:25:00","2.3199808819e+10","2.3199808819e+10","4.7618634368e+10","4.7618634368e+10"
"2020-10-02 10:30:00","2.2063191721e+10","2.2063191721e+10","4.3132479775e+10","4.3132479775e+10"
"2020-10-02 10:35:00","1.9796474189e+10","1.9796474189e+10","5.2359819486e+10","5.2359819486e+10"
"2020-10-02 10:40:00","1.8608317556e+10","1.8608317556e+10","5.0420012032e+10","5.0420012032e+10"
"2020-10-02 10:45:00","1.8569024379e+10","1.8569024379e+10","4.5140601284e+10","4.5140601284e+10"
"2020-10-02 10:50:00","2.0467699443e+10","2.0467699443e+10","5.0272228148e+10","5.0272228148e+10"
"2020-10-02 10:55:00","1.9270571588e+10","1.9270571588e+10","4.7277118276e+10","4.7277118276e+10"
"2020-10-02 11:00:00","2.0801994597e+10","2.0801994597e+10","4.1901295589e+10","4.1901295589e+10"
"2020-10-02 11:05:00","1.8166190736e+10","1.8166190736e+10","4.3434813850e+10","4.3434813850e+10"
"2020-10-02 11:10:00","2.0329096303e+10","2.0329096303e+10","4.2504476413e+10","4.2504476413e+10"
"2020-10-02 11:15:00","1.8499911938e+10","1.8499911938e+10","4.4084926818e+10","4.4084926818e+10"
"2020-10-02 11:20:00","2.0693441036e+10","2.0693441036e+10","3.9597938372e+10","3.9597938372e+10"
"2020-10-02 11:25:00","1.7729016819e+10","1.7729016819e+10","4.0241656221e+10","4.0241656221e+10"
"2020-10-02 11:30:00","1.6491117755e+10","1.6491117755e+10","3.9028806306e+10","3.9028806306e+10"
"2020-10-02 11:35:00","1.9684123819e+10","1.9684123819e+10","3.8641290946e+10","3.8641290946e+10"
"2020-10-02 11:40:00","2.2441981540e+10","2.2441981540e+10","4.0480292496e+10","4.0480292496e+10"
"2020-10-02 11:45:00","2.5137149727e+10","2.5137149727e+10","4.6745508170e+10","4.6745508170e+10"
"2020-10-02 11:50:00","2.8932369098e+10","2.8932369098e+10","6.1609328833e+10","6.1609328833e+10"
"2020-10-02 11:55:00","2.3926454349e+10","2.3926454349e+10","4.6717496310e+10","4.6717496310e+10"
"2020-10-02 12:00:00","1.7231549510e+10","1.7231549510e+10","4.1291003477e+10","4.1291003477e+10"
"2020-10-02 12:05:00","1.9843238095e+10","1.9843238095e+10","3.9215389508e+10","3.9215389508e+10"
"2020-10-02 12:10:00","1.8522069970e+10","1.8522069970e+10","3.7446226070e+10","3.7446226070e+10"
"2020-10-02 12:15:00","1.8391854752e+10","1.8391854752e+10","4.0248741779e+10","4.0248741779e+10"
"2020-10-02 12:20:00","2.2786160706e+10","2.2786160706e+10","3.8788125411e+10","3.8788125411e+10"
"2020-10-02 12:25:00","2.8710532893e+10","2.8710532893e+10","4.8383318953e+10","4.8383318953e+10"
"2020-10-02 12:30:00","2.1107307327e+10","2.1107307327e+10","4.7678279664e+10","4.7678279664e+10"
"2020-10-02 12:35:00","1.6315733704e+10","1.6315733704e+10","4.8173604670e+10","4.8173604670e+10"
"2020-10-02 12:40:00","1.7530793831e+10","1.7530793831e+10","4.2094311644e+10","4.2094311644e+10"
"2020-10-02 12:45:00","1.4625456426e+10","1.4625456426e+10","4.0670455252e+10","4.0670455252e+10"
"2020-10-02 12:50:00","1.5081295012e+10","1.5081295012e+10","4.4605915456e+10","4.4605915456e+10"
"2020-10-02 12:55:00","1.5961482708e+10","1.5961482708e+10","4.3511184246e+10","4.3511184246e+10"
"2020-10-02 13:00:00","2.2952945253e+10","2.2952945253e+10","4.7043187902e+10","4.7043187902e+10"
"2020-10-02 13:05:00","2.4081314048e+10","2.4081314048e+10","4.6965484022e+10","4.6965484022e+10"
"2020-10-02 13:10:00","2.1589196088e+10","2.1589196088e+10","5.3099838128e+10","5.3099838128e+10"
"2020-10-02 13:15:00","1.6321242291e+10","1.6321242291e+10","5.4268336533e+10","5.4268336533e+10"
"2020-10-02 13:20:00","1.7022800593e+10","1.7022800593e+10","5.8321238803e+10","5.8321238803e+10"
"2020-10-02 13:25:00","1.6430707205e+10","1.6430707205e+10","5.7587472512e+10","5.7587472512e+10"
"2020-10-02 13:30:00","1.4351748243e+10","1.4351748243e+10","5.4356429950e+10","5.4356429950e+10"
"2020-10-02 13:35:00","1.5690322499e+10","1.5690322499e+10","5.8894938226e+10","5.8894938226e+10"
"2020-10-02 13:40:00","1.2120789549e+10","1.2120789549e+10","5.4151702999e+10","5.4151702999e+10"
"2020-10-02 13:45:00","1.6225963877e+10","1.6225963877e+10","4.9851844745e+10","4.9851844745e+10"
"2020-10-02 13:50:00","1.7585542737e+10","1.7585542737e+10","4.7611984955e+10","4.7611984955e+10"
"2020-10-02 13:55:00","2.2362191594e+10","2.2362191594e+10","4.1696045789e+10","4.1696045789e+10"
"2020-10-02 14:00:00","2.3772941337e+10","2.3772941337e+10","4.1681890007e+10","4.1681890007e+10"
"2020-10-02 14:05:00","2.5112245274e+10","2.5112245274e+10","4.0779333478e+10","4.0779333478e+10"
"2020-10-02 14:10:00","2.6952681333e+10","2.6952681333e+10","4.1436066016e+10","4.1436066016e+10"
"2020-10-02 14:15:00","3.4984137407e+10","3.4984137407e+10","4.6933605214e+10","4.6933605214e+10"
"2020-10-02 14:20:00","1.9033945223e+10","1.9033945223e+10","3.9521192995e+10","3.9521192995e+10"
"2020-10-02 14:25:00","1.7832728434e+10","1.7832728434e+10","3.6865011927e+10","3.6865011927e+10"
"2020-10-02 14:30:00","1.8255413066e+10","1.8255413066e+10","4.4725202403e+10","4.4725202403e+10"
"2020-10-02 14:35:00","1.3080717926e+10","1.3080717926e+10","3.8575144539e+10","3.8575144539e+10"
"2020-10-02 14:40:00","1.4825551670e+10","1.4825551670e+10","3.9175632426e+10","3.9175632426e+10"
"2020-10-02 14:45:00","1.8689891526e+10","1.8689891526e+10","3.9692288878e+10","3.9692288878e+10"
"2020-10-02 14:50:00","3.4718200849e+10","3.4718200849e+10","3.8779063024e+10","3.8779063024e+10"
"2020-10-02 14:55:00","3.3559033596e+10","3.3559033596e+10","3.6174212530e+10","3.6174212530e+10"
"2020-10-02 15:00:00","2.7151231279e+10","2.7151231279e+10","3.5874223833e+10","3.5874223833e+10"
"2020-10-02 15:05:00","2.3342935162e+10","2.3342935162e+10","3.9301108470e+10","3.9301108470e+10"
"2020-10-02 15:10:00","4.2088620134e+10","4.2088620134e+10","5.0933309108e+10","5.0933309108e+10"
"2020-10-02 15:15:00","2.8585973856e+10","2.8585973856e+10","5.8553850492e+10","5.8553850492e+10"
"2020-10-02 15:20:00","1.7598392080e+10","1.7598392080e+10","5.3532748669e+10","5.3532748669e+10"
"2020-10-02 15:25:00","1.7652301836e+10","1.7652301836e+10","4.8608825605e+10","4.8608825605e+10"
"2020-10-02 15:30:00","1.9218499681e+10","1.9218499681e+10","4.2683301006e+10","4.2683301006e+10"
"2020-10-02 15:35:00","2.1186819496e+10","2.1186819496e+10","4.3475195622e+10","4.3475195622e+10"
"2020-10-02 15:40:00","1.8083853047e+10","1.8083853047e+10","5.0633899202e+10","5.0633899202e+10"
"2020-10-02 15:45:00","3.2549333432e+10","3.2549333432e+10","4.7272159475e+10","4.7272159475e+10"
"2020-10-02 15:50:00","3.7387979805e+10","3.7387979805e+10","4.6136169691e+10","4.6136169691e+10"
"2020-10-02 15:55:00","2.1770919771e+10","2.1770919771e+10","4.3966818025e+10","4.3966818025e+10"
"2020-10-02 16:00:00","2.0739518282e+10","2.0739518282e+10","4.1634796293e+10","4.1634796293e+10"
"2020-10-02 16:05:00","2.4168441673e+10","2.4168441673e+10","3.7552171453e+10","3.7552171453e+10"
"2020-10-02 16:10:00","3.7684704318e+10","3.7684704318e+10","3.3990044201e+10","3.3990044201e+10"
"2020-10-02 16:15:00","2.1381872406e+10","2.1381872406e+10","3.4883834884e+10","3.4883834884e+10"
"2020-10-02 16:20:00","1.6345468787e+10","1.6345468787e+10","3.0188796534e+10","3.0188796534e+10"
"2020-10-02 16:25:00","1.7537082206e+10","1.7537082206e+10","3.0624950933e+10","3.0624950933e+10"
"2020-10-02 16:30:00","2.0559164210e+10","2.0559164210e+10","2.8094954914e+10","2.8094954914e+10"
"2020-10-02 16:35:00","1.8364856308e+10","1.8364856308e+10","2.8019270635e+10","2.8019270635e+10"
"2020-10-02 16:40:00","2.0996361989e+10","2.0996361989e+10","2.7590975943e+10","2.7590975943e+10"
"2020-10-02 16:45:00","2.5574440665e+10","2.5574440665e+10","3.1785407726e+10","3.1785407726e+10"
